OrderID,Date,Year,Month,DayOfWeek,RegionID,ClientID,NumberOfItems,TotalQuantity,AvgProductPrice,DistinctCategories,MaterialDiversity,Status,TotalPrice
1069,2025-05-17,2025,5,Saturday,R3,C222,2,8,8.89,4,6,Shipped,71.97
1070,2025-04-03,2025,4,Thursday,R4,C123,8,23,25.37,1,2,Shipped,660.22
1071,2025-01-07,2025,1,Tuesday,R4,C456,8,27,18.39,4,5,Shipped,526.29
1072,2025-04-15,2025,4,Tuesday,R1,C123,3,3,19.02,4,7,Returned,58.08
1073,2025-03-25,2025,3,Tuesday,R1,C123,4,4,34.82,2,2,Canceled,139.52
1074,2025-05-03,2025,5,Saturday,R3,C222,2,2,18.65,4,5,Open,38.16
1075,2025-01-12,2025,1,Sunday,R4,C456,1,1,8.47,3,5,Shipped,9.93
1076,2025-04-19,2025,4,Saturday,R2,C111,9,24,30.41,2,4,Shipped,757.89
1077,2025-02-21,2025,2,Friday,R4,C789,3,15,41.39,1,3,Shipped,683.78
1078,2025-04-14,2025,4,Monday,R2,C222,7,34,35.55,5,7,Open,1371.37
1079,2025-05-07,2025,5,Wednesday,R3,C222,4,15,9.43,4,4,Canceled,116.5
1080,2025-02-24,2025,2,Monday,R3,C222,9,43,19.0,4,6,Open,866.44
1081,2025-01-06,2025,1,Monday,R4,C222,3,7,39.76,3,3,Open,292.75
1082,2025-05-16,2025,5,Friday,R4,C456,3,6,43.02,1,3,Shipped,266.36
1083,2025-04-26,2025,4,Saturday,R3,C789,3,8,45.14,3,5,Returned,374.75
1084,2025-06-02,2025,6,Monday,R1,C222,1,3,32.91,5,5,Canceled,111.98
1085,2025-01-04,2025,1,Saturday,R3,C123,5,18,6.93,1,3,Returned,105.37
1086,2025-03-11,2025,3,Tuesday,R1,C456,3,12,18.31,1,2,Open,233.7
1087,2025-01-14,2025,1,Tuesday,R3,C789,3,10,30.27,3,5,Canceled,351.82
1088,2025-03-10,2025,3,Monday,R2,C789,5,24,25.59,4,5,Open,709.47
1089,2025-06-06,2025,6,Friday,R3,C111,8,28,14.79,4,6,Returned,351.83
1090,2025-03-04,2025,3,Tuesday,R2,C222,8,16,22.31,4,7,Canceled,423.94
1091,2025-06-14,2025,6,Saturday,R2,C111,2,8,10.63,4,4,Canceled,84.14
1092,2025-04-09,2025,4,Wednesday,R3,C789,5,21,23.51,2,4,Canceled,485.36
1093,2025-04-15,2025,4,Tuesday,R2,C789,8,32,40.5,2,2,Shipped,1435.88
1094,2025-02-27,2025,2,Thursday,R4,C111,8,15,45.03,4,7,Shipped,553.57
1095,2025-03-20,2025,3,Thursday,R3,C123,3,4,44.09,1,2,Returned,186.18
1096,2025-04-13,2025,4,Sunday,R4,C789,3,4,34.2,3,4,Returned,162.32
1097,2025-06-19,2025,6,Thursday,R4,C456,3,4,49.43,2,5,Shipped,176.93
1098,2025-02-11,2025,2,Tuesday,R2,C456,9,24,42.41,3,3,Shipped,925.72
1099,2025-01-27,2025,1,Monday,R1,C123,9,17,8.45,3,5,Canceled,147.66
1100,2025-01-27,2025,1,Monday,R2,C123,7,34,43.29,4,7,Returned,1450.8
1101,2025-06-26,2025,6,Thursday,R4,C456,6,7,23.89,5,5,Returned,162.43
1102,2025-01-13,2025,1,Monday,R3,C456,3,10,13.97,2,3,Open,158.39
1103,2025-05-05,2025,5,Monday,R3,C333,4,5,30.07,2,3,Returned,171.62
1104,2025-05-03,2025,5,Saturday,R4,C111,10,38,13.09,3,6,Shipped,504.01
1105,2025-04-17,2025,4,Thursday,R2,C456,3,12,37.22,3,5,Open,495.15
1106,2025-03-13,2025,3,Thursday,R3,C123,6,16,9.95,1,3,Open,146.84
1107,2025-02-25,2025,2,Tuesday,R2,C789,7,22,6.28,4,7,Canceled,139.01
1108,2025-05-20,2025,5,Tuesday,R4,C789,6,21,35.37,5,5,Open,618.76
1109,2025-03-29,2025,3,Saturday,R2,C222,1,4,47.19,5,5,Shipped,222.59
1110,2025-01-24,2025,1,Friday,R3,C222,5,17,10.28,3,6,Returned,164.21
1111,2025-03-10,2025,3,Monday,R1,C333,4,12,20.91,1,4,Returned,249.84
1112,2025-02-27,2025,2,Thursday,R1,C444,1,1,43.3,5,8,Open,50.63
1113,2025-02-15,2025,2,Saturday,R2,C444,9,26,16.02,5,7,Shipped,356.39
1114,2025-06-12,2025,6,Thursday,R4,C456,8,27,35.71,1,3,Canceled,950.23
1115,2025-04-13,2025,4,Sunday,R4,C222,9,45,28.17,5,5,Canceled,1027.6
1116,2025-03-25,2025,3,Tuesday,R1,C789,7,12,29.66,2,4,Open,389.71
1117,2025-05-18,2025,5,Sunday,R1,C222,2,4,40.2,1,2,Open,165.38
1118,2025-06-27,2025,6,Friday,R1,C111,10,49,25.88,1,1,Canceled,1333.61
1119,2025-06-28,2025,6,Saturday,R3,C222,3,5,48.94,2,2,Returned,228.69
1120,2025-01-18,2025,1,Saturday,R2,C444,2,4,48.21,3,5,Open,160.4
1121,2025-05-29,2025,5,Thursday,R2,C333,3,12,17.54,1,4,Open,243.44
1122,2025-06-19,2025,6,Thursday,R2,C123,10,34,37.38,3,5,Shipped,1297.21
1123,2025-05-27,2025,5,Tuesday,R1,C789,10,27,28.76,1,4,Shipped,756.75
1124,2025-05-03,2025,5,Saturday,R2,C444,7,9,34.44,3,6,Canceled,285.21
1125,2025-04-24,2025,4,Thursday,R4,C456,6,6,7.72,1,2,Open,44.3
1126,2025-03-31,2025,3,Monday,R2,C444,5,12,19.93,5,8,Open,264.73
1127,2025-01-14,2025,1,Tuesday,R2,C333,9,35,10.76,2,5,Returned,329.49
1128,2025-03-30,2025,3,Sunday,R3,C123,8,36,44.89,1,1,Shipped,1731.45
1129,2025-04-14,2025,4,Monday,R4,C456,8,40,40.72,3,4,Shipped,1303.53
1130,2025-01-26,2025,1,Sunday,R1,C789,8,20,27.45,3,4,Shipped,442.41
1131,2025-03-20,2025,3,Thursday,R3,C333,8,16,16.53,5,7,Open,301.61
1132,2025-05-16,2025,5,Friday,R1,C111,10,47,43.69,2,4,Open,1746.55
1133,2025-04-04,2025,4,Friday,R3,C333,9,11,17.33,2,3,Open,162.84
1134,2025-02-24,2025,2,Monday,R4,C456,8,13,13.35,5,7,Canceled,169.9
1135,2025-04-17,2025,4,Thursday,R1,C111,5,6,29.21,2,5,Returned,195.46
1136,2025-06-21,2025,6,Saturday,R3,C111,8,27,10.79,4,6,Returned,300.92
1137,2025-05-16,2025,5,Friday,R4,C456,9,12,41.08,2,4,Canceled,483.58
1138,2025-03-29,2025,3,Saturday,R2,C444,3,3,30.89,1,1,Canceled,96.84
1139,2025-02-01,2025,2,Saturday,R4,C123,6,17,17.53,5,7,Canceled,261.87
1140,2025-01-03,2025,1,Friday,R2,C123,1,3,18.5,1,3,Shipped,51.73
1141,2025-03-11,2025,3,Tuesday,R2,C333,7,19,21.45,3,4,Open,465.43
1142,2025-05-30,2025,5,Friday,R4,C222,1,2,26.84,1,4,Returned,48.65
1143,2025-03-29,2025,3,Saturday,R1,C456,10,49,47.55,5,6,Shipped,2688.52
1144,2025-06-15,2025,6,Sunday,R4,C333,5,11,32.57,2,5,Shipped,366.18
1145,2025-03-01,2025,3,Saturday,R1,C333,6,12,7.37,3,4,Open,96.58
1146,2025-06-23,2025,6,Monday,R4,C789,1,4,15.54,4,6,Open,65.72
1147,2025-04-13,2025,4,Sunday,R4,C222,10,36,31.67,5,8,Returned,1093.24
1148,2025-02-12,2025,2,Wednesday,R2,C456,5,20,25.04,1,3,Open,531.78
1149,2025-02-18,2025,2,Tuesday,R1,C111,7,25,23.1,5,8,Canceled,645.04
1150,2025-06-09,2025,6,Monday,R4,C789,9,28,17.33,1,2,Returned,500.45
1151,2025-05-13,2025,5,Tuesday,R4,C444,9,32,32.4,1,2,Returned,1065.56
1152,2025-03-13,2025,3,Thursday,R2,C333,6,17,11.25,4,7,Returned,205.2
1153,2025-06-15,2025,6,Sunday,R3,C444,9,9,36.99,5,7,Open,352.17
1154,2025-06-07,2025,6,Saturday,R4,C111,4,15,11.41,1,3,Canceled,190.8
1155,2025-06-28,2025,6,Saturday,R2,C333,2,8,33.81,4,5,Canceled,234.11
1156,2025-04-28,2025,4,Monday,R3,C444,8,38,17.14,3,6,Canceled,625.69
1157,2025-04-09,2025,4,Wednesday,R1,C456,7,22,30.32,5,5,Open,562.88
1158,2025-03-03,2025,3,Monday,R2,C111,2,10,48.91,1,2,Canceled,404.14
1159,2025-01-10,2025,1,Friday,R3,C123,10,30,17.15,2,4,Canceled,439.22
1160,2025-03-04,2025,3,Tuesday,R3,C123,4,20,29.21,1,1,Shipped,468.2
1161,2025-05-23,2025,5,Friday,R2,C222,5,14,35.77,5,7,Returned,499.34
1162,2025-03-07,2025,3,Friday,R1,C222,4,5,26.66,4,7,Open,145.86
1163,2025-03-21,2025,3,Friday,R1,C111,7,23,36.26,3,5,Returned,879.22
1164,2025-05-24,2025,5,Saturday,R2,C789,1,5,19.99,1,3,Returned,107.2
1165,2025-05-19,2025,5,Monday,R2,C444,7,32,27.08,2,5,Canceled,926.23
1166,2025-04-02,2025,4,Wednesday,R1,C789,5,17,36.83,5,7,Shipped,688.88
1167,2025-03-15,2025,3,Saturday,R1,C456,5,10,9.66,1,1,Returned,113.87
1168,2025-03-05,2025,3,Wednesday,R1,C444,5,17,31.97,4,5,Returned,640.82
1169,2025-05-11,2025,5,Sunday,R4,C333,5,6,34.25,3,5,Open,191.12
1170,2025-06-09,2025,6,Monday,R1,C456,3,13,26.22,4,4,Shipped,305.81
1171,2025-02-20,2025,2,Thursday,R2,C222,1,1,24.54,3,6,Open,22.76
1172,2025-04-27,2025,4,Sunday,R2,C444,6,26,33.81,1,2,Returned,775.77
1173,2025-06-30,2025,6,Monday,R3,C456,9,34,42.56,1,2,Returned,1371.43
1174,2025-05-18,2025,5,Sunday,R3,C111,1,2,29.96,3,6,Canceled,69.76
1175,2025-01-16,2025,1,Thursday,R1,C123,1,2,45.3,1,1,Open,93.02
1176,2025-06-23,2025,6,Monday,R4,C222,9,33,36.23,1,3,Returned,1352.55
1177,2025-05-01,2025,5,Thursday,R1,C444,5,21,13.7,2,4,Open,262.99
1178,2025-02-17,2025,2,Monday,R3,C111,7,32,7.73,4,7,Canceled,239.33
1179,2025-05-03,2025,5,Saturday,R4,C111,4,9,17.61,5,7,Shipped,172.81
1180,2025-06-18,2025,6,Wednesday,R1,C444,5,16,36.03,2,4,Canceled,502.44
1181,2025-03-18,2025,3,Tuesday,R1,C333,2,4,40.27,5,7,Canceled,163.74
1182,2025-06-21,2025,6,Saturday,R2,C456,4,12,46.74,3,6,Canceled,511.26
1183,2025-02-22,2025,2,Saturday,R2,C222,1,3,46.79,2,3,Returned,163.86
1184,2025-01-19,2025,1,Sunday,R4,C333,8,31,25.76,4,6,Returned,796.19
1185,2025-02-09,2025,2,Sunday,R1,C456,3,13,32.61,1,3,Open,412.4
1186,2025-02-04,2025,2,Tuesday,R4,C111,10,49,18.24,5,8,Shipped,977.7
1187,2025-03-06,2025,3,Thursday,R4,C333,8,25,35.49,4,5,Canceled,1006.88
1188,2025-04-17,2025,4,Thursday,R4,C789,5,19,38.5,3,6,Canceled,794.54
1189,2025-03-25,2025,3,Tuesday,R1,C456,10,36,14.41,2,2,Canceled,422.35
1190,2025-05-31,2025,5,Saturday,R1,C789,2,2,25.74,2,3,Returned,43.61
1191,2025-05-29,2025,5,Thursday,R4,C222,6,28,33.98,3,6,Returned,1020.75
1192,2025-01-25,2025,1,Saturday,R3,C444,5,18,9.29,1,4,Open,161.18
1193,2025-02-21,2025,2,Friday,R2,C456,6,20,24.16,4,5,Canceled,435.15
1194,2025-04-14,2025,4,Monday,R3,C333,7,17,28.77,4,4,Open,413.81
1195,2025-02-24,2025,2,Monday,R1,C456,5,21,45.01,5,6,Returned,1054.53
1196,2025-03-03,2025,3,Monday,R4,C444,7,32,20.68,2,2,Canceled,634.17
1197,2025-01-14,2025,1,Tuesday,R1,C789,8,22,8.37,5,5,Returned,180.72
1198,2025-01-25,2025,1,Saturday,R1,C333,2,6,41.3,2,4,Canceled,209.53
1199,2025-01-16,2025,1,Thursday,R1,C123,5,9,37.77,1,4,Shipped,301.08
1200,2025-04-08,2025,4,Tuesday,R4,C333,8,39,32.39,3,5,Open,1331.55
1201,2025-03-03,2025,3,Monday,R4,C111,5,14,31.36,2,5,Shipped,456.21
1202,2025-05-05,2025,5,Monday,R1,C789,7,30,48.14,2,5,Canceled,1579.62
1203,2025-04-11,2025,4,Friday,R2,C444,3,12,43.88,3,6,Returned,442.96
1204,2025-04-28,2025,4,Monday,R4,C789,2,6,7.53,5,7,Returned,40.73
1205,2025-05-05,2025,5,Monday,R4,C456,4,20,37.83,5,6,Canceled,785.53
1206,2025-03-19,2025,3,Wednesday,R1,C789,9,18,20.67,2,2,Shipped,431.44
1207,2025-04-01,2025,4,Tuesday,R4,C123,10,13,15.77,3,6,Open,245.89
1208,2025-05-16,2025,5,Friday,R3,C222,4,8,17.57,4,7,Returned,137.34
1209,2025-01-29,2025,1,Wednesday,R3,C444,1,5,14.57,4,4,Canceled,83.21
1210,2025-06-24,2025,6,Tuesday,R4,C123,1,4,20.4,4,6,Returned,90.58
1211,2025-05-14,2025,5,Wednesday,R4,C789,7,33,49.98,5,5,Open,1617.33
1212,2025-04-09,2025,4,Wednesday,R4,C123,4,11,26.06,1,3,Returned,293.8
1213,2025-05-16,2025,5,Friday,R3,C456,8,12,21.36,3,6,Canceled,283.36
1214,2025-04-08,2025,4,Tuesday,R3,C789,10,22,9.9,1,2,Canceled,240.78
1215,2025-05-24,2025,5,Saturday,R2,C111,1,1,45.08,3,4,Canceled,37.81
1216,2025-02-03,2025,2,Monday,R1,C333,9,27,34.5,1,1,Shipped,893.33
1217,2025-04-15,2025,4,Tuesday,R4,C222,10,37,28.54,4,4,Shipped,1144.3
1218,2025-03-04,2025,3,Tuesday,R1,C789,8,11,22.46,3,6,Canceled,286.77
1219,2025-06-02,2025,6,Monday,R2,C111,1,5,36.41,1,3,Open,159.01
1220,2025-01-31,2025,1,Friday,R2,C222,5,5,30.99,3,5,Open,166.87
1221,2025-06-20,2025,6,Friday,R2,C222,2,2,16.61,3,3,Canceled,28.36
1222,2025-03-19,2025,3,Wednesday,R3,C444,8,19,20.23,4,6,Shipped,314.75
1223,2025-05-09,2025,5,Friday,R3,C123,3,7,30.78,5,8,Returned,235.45
1224,2025-01-18,2025,1,Saturday,R4,C111,6,28,35.95,5,8,Shipped,1125.48
1225,2025-03-24,2025,3,Monday,R2,C444,3,9,47.63,1,2,Canceled,422.92
1226,2025-05-18,2025,5,Sunday,R1,C456,1,4,23.27,3,5,Open,80.54
1227,2025-04-29,2025,4,Tuesday,R3,C456,3,10,17.37,1,3,Open,193.73
1228,2025-06-22,2025,6,Sunday,R3,C456,4,19,27.18,2,5,Open,557.82
1229,2025-01-28,2025,1,Tuesday,R2,C789,10,43,43.9,1,1,Returned,1632.21
1230,2025-01-03,2025,1,Friday,R1,C456,1,3,37.52,2,4,Shipped,130.21
1231,2025-04-05,2025,4,Saturday,R3,C444,3,11,14.6,2,3,Canceled,191.26
1232,2025-04-29,2025,4,Tuesday,R1,C456,6,20,29.27,1,3,Canceled,496.12
1233,2025-03-12,2025,3,Wednesday,R2,C444,1,2,5.16,4,7,Returned,11.79
1234,2025-06-01,2025,6,Sunday,R2,C789,6,14,13.07,5,6,Returned,153.54
1235,2025-02-28,2025,2,Friday,R1,C789,9,13,27.42,1,1,Shipped,354.34
1236,2025-03-18,2025,3,Tuesday,R4,C222,7,15,21.0,1,4,Canceled,293.8
1237,2025-04-30,2025,4,Wednesday,R1,C456,8,40,46.16,2,5,Open,1674.4
1238,2025-03-21,2025,3,Friday,R3,C456,4,7,11.43,2,4,Canceled,64.07
1239,2025-01-13,2025,1,Monday,R1,C333,1,1,6.13,1,2,Shipped,6.75
1240,2025-03-26,2025,3,Wednesday,R1,C123,5,7,48.05,1,1,Canceled,326.29
1241,2025-04-16,2025,4,Wednesday,R3,C789,1,1,39.34,1,2,Shipped,42.29
1242,2025-06-22,2025,6,Sunday,R3,C222,2,2,18.71,5,5,Open,34.46
1243,2025-05-11,2025,5,Sunday,R3,C456,4,6,42.96,1,2,Shipped,228.16
1244,2025-06-02,2025,6,Monday,R1,C789,8,23,28.7,3,3,Shipped,791.13
1245,2025-04-15,2025,4,Tuesday,R1,C456,6,15,8.8,4,4,Shipped,137.22
1246,2025-02-11,2025,2,Tuesday,R4,C333,4,10,19.29,5,6,Returned,223.65
1247,2025-03-24,2025,3,Monday,R3,C222,6,29,25.02,3,3,Shipped,693.62
1248,2025-01-28,2025,1,Tuesday,R4,C111,6,14,49.23,4,4,Open,752.55
1249,2025-06-23,2025,6,Monday,R2,C444,7,35,28.67,5,5,Shipped,824.43
1250,2025-06-07,2025,6,Saturday,R3,C789,4,16,33.23,4,6,Open,579.72
1251,2025-03-17,2025,3,Monday,R1,C111,3,13,34.33,4,6,Open,380.48
1252,2025-06-12,2025,6,Thursday,R4,C456,6,13,22.71,4,7,Returned,293.3
1253,2025-01-31,2025,1,Friday,R2,C111,7,31,43.47,2,3,Returned,1339.32
1254,2025-05-26,2025,5,Monday,R4,C123,5,23,8.83,5,6,Open,211.14
1255,2025-06-28,2025,6,Saturday,R3,C123,3,12,17.52,5,6,Shipped,235.61
1256,2025-01-19,2025,1,Sunday,R4,C111,10,26,21.92,5,5,Returned,502.9
1257,2025-03-01,2025,3,Saturday,R2,C333,5,10,40.29,2,3,Returned,413.22
1258,2025-03-22,2025,3,Saturday,R1,C456,10,24,17.98,2,4,Open,456.38
1259,2025-01-14,2025,1,Tuesday,R4,C444,3,4,42.96,3,6,Shipped,188.32
1260,2025-06-06,2025,6,Friday,R2,C456,8,39,45.99,3,6,Canceled,1787.52
1261,2025-05-22,2025,5,Thursday,R1,C456,5,18,7.97,4,5,Returned,136.28
1262,2025-05-03,2025,5,Saturday,R2,C123,5,7,44.43,3,4,Shipped,278.47
1263,2025-03-15,2025,3,Saturday,R3,C123,5,16,5.08,5,7,Canceled,90.5
1264,2025-04-14,2025,4,Monday,R4,C222,10,45,41.71,5,6,Open,1555.56
1265,2025-02-06,2025,2,Thursday,R1,C111,7,11,16.3,3,6,Canceled,148.48
1266,2025-01-11,2025,1,Saturday,R3,C333,8,16,24.87,3,6,Canceled,322.75
1267,2025-02-10,2025,2,Monday,R4,C444,9,11,6.6,1,4,Canceled,84.95
1268,2025-02-24,2025,2,Monday,R4,C111,3,8,29.23,4,4,Returned,209.17
1269,2025-02-10,2025,2,Monday,R1,C222,4,6,20.2,3,5,Open,117.69
1270,2025-02-20,2025,2,Thursday,R3,C444,7,8,41.3,5,5,Returned,377.24
1271,2025-02-15,2025,2,Saturday,R2,C222,3,15,21.82,2,4,Canceled,275.39
1272,2025-04-16,2025,4,Wednesday,R2,C444,7,35,49.78,4,4,Canceled,1740.27
1273,2025-02-13,2025,2,Thursday,R4,C789,8,18,37.03,3,6,Open,779.95
1274,2025-03-16,2025,3,Sunday,R4,C111,3,11,41.74,3,6,Returned,425.16
1275,2025-04-14,2025,4,Monday,R4,C111,3,9,17.04,1,2,Shipped,165.32
1276,2025-02-25,2025,2,Tuesday,R1,C456,7,26,47.01,4,5,Open,1275.56
1277,2025-01-06,2025,1,Monday,R2,C222,5,20,46.64,4,7,Open,1068.71
1278,2025-02-23,2025,2,Sunday,R1,C222,6,30,5.97,1,3,Shipped,201.97
1279,2025-06-20,2025,6,Friday,R4,C123,2,10,49.66,4,7,Shipped,449.89
1280,2025-04-10,2025,4,Thursday,R2,C222,7,12,17.71,3,5,Shipped,228.78
1281,2025-06-29,2025,6,Sunday,R1,C123,2,5,46.65,2,2,Open,213.88
1282,2025-05-13,2025,5,Tuesday,R4,C444,6,25,46.7,1,2,Returned,947.8
1283,2025-06-14,2025,6,Saturday,R2,C789,9,45,30.06,3,3,Open,1291.79
1284,2025-04-15,2025,4,Tuesday,R3,C789,9,41,10.17,4,5,Returned,426.83
1285,2025-06-08,2025,6,Sunday,R1,C444,5,18,12.6,5,7,Returned,234.15
1286,2025-01-06,2025,1,Monday,R4,C222,9,45,20.04,3,4,Open,841.92
1287,2025-06-13,2025,6,Friday,R4,C222,4,12,31.92,2,4,Shipped,411.81
1288,2025-06-07,2025,6,Saturday,R3,C333,5,16,38.94,2,4,Canceled,741.2
1289,2025-04-18,2025,4,Friday,R2,C111,4,17,26.65,1,1,Canceled,366.6
1290,2025-02-01,2025,2,Saturday,R1,C456,10,47,10.46,4,5,Canceled,422.28
1291,2025-04-20,2025,4,Sunday,R2,C333,9,13,26.03,4,5,Returned,371.24
1292,2025-03-19,2025,3,Wednesday,R2,C444,7,30,22.42,5,7,Shipped,789.58
1293,2025-06-14,2025,6,Saturday,R2,C222,6,24,45.82,5,8,Open,1281.14
1294,2025-02-14,2025,2,Friday,R4,C456,1,1,27.6,4,7,Returned,32.72
1295,2025-05-04,2025,5,Sunday,R4,C222,7,8,27.87,4,5,Open,251.89
1296,2025-02-26,2025,2,Wednesday,R3,C789,5,7,48.61,3,3,Returned,279.97
1297,2025-02-16,2025,2,Sunday,R4,C789,8,10,36.02,2,2,Open,335.9
